ANTELACION_DIAS,HOTEL_SIZE,ADR,NOCHES,NENES,BEBES,STATUS_BOOL,SEGMENTO_COD,PAIS_AGRUPADO_COD,HABITACION_LIMPIA_COD,GRUPO_TIPO_COD,FUENTE_NEGOCIO_DIRECT SALES,FUENTE_NEGOCIO_E-COMMERCE,FUENTE_NEGOCIO_OTHERS,FUENTE_NEGOCIO_T.O. / T.A.,PAX_TIPO_PAREJAS,PAX_TIPO_SINGLE,TEMPORADA_BAJA,TEMPORADA_MEDIA,DISTANCIA_LARGO,DISTANCIA_MEDIO,DISTANCIA_NO INFO
98,GRANDE,243.13,7,1,0,0,0.375496596876965,0.4235103291852269,0.3975930893786635,0,True,False,False,False,True,False,True,False,False,False,False
383,GRANDE,1454.64,7,0,0,1,0.375496596876965,0.4235103291852269,0.3459754209670617,0,True,False,False,False,False,False,False,False,False,False,False
120,GRANDE,330.46000000000004,7,0,0,1,0.375496596876965,0.4235103291852269,0.3975930893786635,0,True,False,False,False,True,False,False,False,False,False,False
155,GRANDE,215.3,7,0,0,0,0.375496596876965,0.4235103291852269,0.3975930893786635,0,True,False,False,False,True,False,False,False,False,False,False
119,GRANDE,183.6,7,0,0,0,0.375496596876965,0.3082210965283459,0.3975930893786635,0,True,False,False,False,True,False,True,False,False,True,False
52,GRANDE,234.0,7,0,0,0,0.375496596876965,0.3177865364253255,0.3975930893786635,0,True,False,False,False,True,False,False,True,False,False,False
30,GRANDE,116.84,7,0,0,0,0.375496596876965,0.4235103291852269,0.3975930893786635,0,True,False,False,False,True,False,False,False,False,False,False
263,GRANDE,426.8,7,0,0,0,0.375496596876965,0.4235103291852269,0.3975930893786635,0,True,False,False,False,True,False,False,False,False,False,False
30,GRANDE,154.0,4,0,0,0,0.375496596876965,0.4235103291852269,0.5024373692280311,0,True,False,False,False,True,False,True,False,False,False,False
37,GRANDE,253.78,15,0,0,0,0.375496596876965,0.4426721252232782,0.3975930893786635,0,True,False,False,False,True,False,False,True,True,False,False
87,GRANDE,304.66,14,0,0,1,0.375496596876965,0.3082210965283459,0.3975930893786635,0,True,False,False,False,True,False,False,False,False,True,False
120,GRANDE,109.36,8,0,0,1,0.375496596876965,0.2219407126844055,0.5024373692280311,0,True,False,False,False,True,False,False,False,True,False,False
306,GRANDE,319.0,7,0,0,1,0.375496596876965,0.4235103291852269,0.359469705872788,0,True,False,False,False,True,False,False,True,False,False,False
470,GRANDE,150.75,7,0,0,1,0.375496596876965,0.4426721252232782,0.3975930893786635,0,True,False,False,False,False,True,False,True,False,False,True
